Date,Amount,Description,Category,Source
2019-11-11,-240.37,COAST CABINS 503-3687113 OR,,ALASKA VISA
2019-11-12,-290.68,AMZN Mktp US*947QP4B03 Amzn.com/billWA,,ALASKA VISA
2019-11-12,-6.59,AMZN MKTP US*X67HO6UX3 AMAMZN.COM/BILLWA,,ALASKA VISA
2019-11-12,-45.08,AMZN MKTP US*TB7HF1VI3 AMAMZN.COM/BILLWA,,ALASKA VISA
2019-11-12,-25.25,AMZN MKTP US*E633H20V3 AMAMZN.COM/BILLWA,,ALASKA VISA
2019-11-14,-72.99,GRAB A GUN 972-552-7246 TX,,ALASKA VISA
2019-11-15,-23.82,ZEEKS PIZZA-CAPITOL HILL SEATTLE WA,,ALASKA VISA
2019-11-15,-20.12,MERCURYS COFFEE CO- BELLEVUE WA,,ALASKA VISA
2019-11-15,-40.4,FLYING SQUIRREL PIZZA CO SEATTLE WA,,ALASKA VISA
2019-11-16,-27.22,SQ *THE WANDERING G SEATTLE WA,,ALASKA VISA
2019-11-19,-52.2,76 - UNITED PACIFIC 3890 SOUTH BEND WA,,ALASKA VISA
2019-11-21,-17.47,AMZN MKTP US*WY8WE2SD3 AMAMZN.COM/BILLWA,,ALASKA VISA
2019-11-21,-24.37,KOZUE JAPANESE RESTAURANTSEATTLE WA,,ALASKA VISA
2019-11-21,-29.5,MURPHY'S PUB SEATTLE WA,,ALASKA VISA
2019-11-22,-27.5,FEDERAL WAY INDOOR RANGE FEDERAL WAY WA,,ALASKA VISA
2019-11-22,-59.13,AMAZON.COM*D49HL7LS3 AMZNAMZN.COM/BILLWA,,ALASKA VISA
2019-11-22,-23.8,VINCES ITALIAN RESTAU FEDERAL WAY WA,,ALASKA VISA
2019-11-23,-41.09,AMZN MKTP US*1V0IT7XJ3 AMAMZN.COM/BILLWA,,ALASKA VISA
2019-11-25,-8.61,QFC #5839 MERCER ISLANDWA,,ALASKA VISA
2019-11-25,-9.89,Amazon.com*SN6TE3LS3 Amzn.com/billWA,,ALASKA VISA
2019-11-25,-54.99,AMZN Mktp US*KQ5K94S93 Amzn.com/billWA,,ALASKA VISA
2019-11-25,-102.45,TST* RIONE XIII SEATTLE WA,,ALASKA VISA
2019-11-25,-27.46,AMZN MKTP US*9343B5Q23 AMAMZN.COM/BILLWA,,ALASKA VISA
2019-11-25,-34.52,MURPHY'S PUB SEATTLE WA,,ALASKA VISA
2019-11-25,-115.0,TM *PETER SAGAL 206-628-0888 CA,,ALASKA VISA
2019-11-25,-52.99,AMZN Mktp US*FG3TU6HI3 Amzn.com/billWA,,ALASKA VISA
2019-11-25,-10.95,AMZN MKTP US*WU1BZ6RU3 AMAMZN.COM/BILLWA,,ALASKA VISA
2019-11-29,-50.52,MURPHY'S PUB SEATTLE WA,,ALASKA VISA
2019-11-29,-9.45,MCDONALD'S F10603 RENTON WA,,ALASKA VISA
2019-11-29,-27.5,FEDERAL WAY INDOOR RANGE FEDERAL WAY WA,,ALASKA VISA
2019-11-29,-39.57,FEDERAL WAY INDOOR RANGE FEDERAL WAY WA,,ALASKA VISA
2019-11-29,-34.18,SHELL OIL 57444032502 MERCER ISLANDWA,,ALASKA VISA
2019-11-29,-10.66,QFC #5839 MERCER ISLANDWA,,ALASKA VISA
2019-11-30,-23.8,VINCES ITALIAN RESTAU FEDERAL WAY WA,,ALASKA VISA
2019-12-02,-49.4,TS MCHUGHS RESTAURANT SEATTLE WA,,ALASKA VISA
2019-12-04,-8.79,Amazon Music*ED3EN8T43 888-802-3080 WA,,ALASKA VISA
2019-12-04,-149.0,WYNDHAM VACATION OWNERSH 8669484565 FL,,ALASKA VISA
2019-12-04,-99.0,WYNDHAM VACATION OWNERSH 8669484565 FL,,ALASKA VISA
2019-12-04,-13.3,802 KENMORE KIDD VALLEY KENMORE WA,,ALASKA VISA
2019-12-04,-614.1,ALASKA AIR 0277433658992SEATTLE WA,,ALASKA VISA
2019-12-04,-5.63,OSTROMS DRUG & GIFT KENMORE WA,,ALASKA VISA
2019-12-04,-65.0,CENTURYLINK SIMPLE 800-201-4099 LA,,ALASKA VISA
2019-12-06,-242.95,CITY OF MERCER ISLAND 206-2757784 WA,,ALASKA VISA
2019-12-06,-25.68,PRONTO PIZZERIA ROTISSE REDWOOD CITY CA,,ALASKA VISA
2019-12-06,-40.6,TARGET 00003210 REDWOOD CITY CA,,ALASKA VISA
2019-12-06,-21.94,AMZN MKTP US*O26FF1HR3 AMAMZN.COM/BILLWA,,ALASKA VISA
2019-12-09,-90.0,RPS PAINE FIELD PARKING CHATTANOOGA TN,,ALASKA VISA
2019-12-09,-24.84,SHARKS CAGE NC-14 SJC SAN JOSE CA,,ALASKA VISA
2019-12-09,-8.04,DICK'S DRIVE-IN WALLINGF SEATTLE WA,,ALASKA VISA
2019-12-10,-24.58,PRONTO PIZZERIA ROTISSE REDWOOD CITY CA,,ALASKA VISA
2019-12-12,-7.5,ALASKA AIR IN FLIGHT SEATAC WA,,ALASKA VISA
2019-12-12,1.5,ALASKA AIR IN FLIGHT PURCHASE REBATE,,ALASKA VISA
2019-12-13,-486.6,AIRBNB HMQCCPY8DK AIRBNB.COM CA,,ALASKA VISA
2019-12-13,-10.42,US CHINESE FOOD REDWOOD CITY CA,,ALASKA VISA
2019-12-13,-14.24,CHEVRON 0097016 REDWOOD CITY CA,,ALASKA VISA
2019-12-14,-22.62,SIZZLER #522 REDWOOD CITY CA,,ALASKA VISA
2019-12-14,-72.91,AMZN Mktp US*9I79I7UX3 Amzn.com/billWA,,ALASKA VISA
2019-12-14,-42.52,BATON VAPOR 425-8207154 NV,,ALASKA VISA
2019-12-16,-14.27,AMZN Mktp US*PX1E49N63 Amzn.com/billWA,,ALASKA VISA
2019-12-16,-32.99,AMZN Mktp US*QC33C8PP3 Amzn.com/billWA,,ALASKA VISA
2019-12-16,-14.27,AMZN Mktp US*WJ0M11FY3 Amzn.com/billWA,,ALASKA VISA
2019-12-16,-29.89,8991 GREAT CLIPS AT ISLANMERCER ISLANDWA,,ALASKA VISA
2019-12-17,-33.0,UNITED 0161554066965800-932-2732 TX,,ALASKA VISA
2019-12-17,-33.0,UNITED 0161554066964800-932-2732 TX,,ALASKA VISA
2019-12-17,-20.66,TST* BEECHER S HANDMADE CEVERETT WA,,ALASKA VISA
2019-12-17,-11.2,UNITED 0162486353220800-932-2732 TX,,ALASKA VISA
2019-12-18,-25.0,LATE FEE FOR PAYMENT DUE,,ALASKA VISA
2019-12-19,-15.57,PIZZA MY HEART - MIDDLEFIREDWOOD CITY CA,,ALASKA VISA
2019-12-20,-22.77,PRONTO PIZZERIA ROTISSE REDWOOD CITY CA,,ALASKA VISA
2019-12-20,-71.12,INTEREST CHARGED ON PURCHASES,,ALASKA VISA
2019-12-21,33.0,UNITED 0161554066964800-932-2732 TX,,ALASKA VISA
2019-12-21,33.0,UNITED 0161554066965800-932-2732 TX,,ALASKA VISA
2019-12-21,-40.94,APPLEBEES 984702098473 REDWOOD CITY CA,,ALASKA VISA
2019-12-21,2534.87,BA ELECTRONIC PAYMENT,,ALASKA VISA
2019-12-23,-54.94,SHARKS CAGE NC-14 SJC SAN JOSE CA,,ALASKA VISA
2019-12-23,-23.25,TUSCAN STONE PIZZA (ME STRIPE.COM NY,,ALASKA VISA
2019-12-24,-29.69,AMZN Mktp US*0W4HO09P3 Amzn.com/billWA,,ALASKA VISA
2019-12-24,-28.66,AMZN Mktp US*ZE7L20YL3 Amzn.com/billWA,,ALASKA VISA
2019-12-24,-61.58,AMZN Mktp US*XH0GW4I33 Amzn.com/billWA,,ALASKA VISA
2019-12-26,-24.84,MUD BAY MERCER ISLAND MERCER ISLANDWA,,ALASKA VISA
2019-12-26,-17.73,AMZN Mktp US*B45GO6V73 Amzn.com/billWA,,ALASKA VISA
2019-12-26,-31.85,THE HOME DEPOT #4702 SEATTLE WA,,ALASKA VISA
2019-12-27,-16.49,Amazon.com*PS3P64IQ3 Amzn.com/billWA,,ALASKA VISA
2019-12-27,-32.95,AMZN Mktp US*JH92L9ZC3 Amzn.com/billWA,,ALASKA VISA
2019-12-27,-17.59,AMZN Mktp US*9Z2TF7IE3 Amzn.com/billWA,,ALASKA VISA
2019-12-27,-18.69,Amazon.com*8C2680RD3 Amzn.com/billWA,,ALASKA VISA
2019-12-30,-28.18,AMZN Mktp US*LN9V94H33 Amzn.com/billWA,,ALASKA VISA
2019-12-30,-13.19,Prime Video*6P4OY8FO3 888-802-3080 WA,,ALASKA VISA
2019-12-30,-47.92,TST* TAVOLATA SEATTLE WA,,ALASKA VISA
2019-12-30,-46.64,TST* ELYSIAN BREWING - FISEATTLE WA,,ALASKA VISA
2019-12-30,-7.16,FLATSTICK PUB LLC SEATTLE WA,,ALASKA VISA
2019-12-30,-31.86,QFC #5839 MERCER ISLANDWA,,ALASKA VISA
2019-12-31,-46.33,SHELL OIL 57444032502 MERCER ISLANDWA,,ALASKA VISA
