Date,Amount,Description,Category,Source
2019-02-19,-126.32,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-02-19,-11.65,LYFT   *RIDE TUE 5PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-02-21,-11.4,MANU'S TACOS FLATSTICK,Restaurant-Restaurant,AMEX DELTA
2019-02-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-02-23,-153.64,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-02-23,-196.05,RHEIN HAUS,Restaurant-Bar & Café,AMEX DELTA
2019-02-26,-31.41,LA PALMERA,Restaurant-Restaurant,AMEX DELTA
2019-02-26,-68.74,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-02-27,-363.0,MIDWAY USA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-02-28,-23.65,VINCE'S ITALIAN RESTAURANT & PIZZERIA,Restaurant-Restaurant,AMEX DELTA
2019-02-28,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-03-01,4936.95,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-03-01,-61.5,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-03-02,-56.88,Amazon Web Services AWS.Amazon.com      WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-03-02,-15.35,WSFERRIES-KI,Other-Government Services,AMEX DELTA
2019-03-03,-17.99,OSTROMS DRUG & GIFT,Merchandise & Supplies-Pharmacies,AMEX DELTA
2019-03-03,-8.8,AMAZON MUSIC*MI21G3U888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-03-05,-11.94,LYFT   *RIDE TUE 8AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-03-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-03-07,-8000.0,GALVANIZE,Other-Education,AMEX DELTA
2019-03-10,-224.25,Astound Broadband,Communications-Cable & Internet Comm,AMEX DELTA
2019-03-11,-1.59,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-03-12,-10.01,LYFT   *RIDE TUE 8PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-14,-22.6,LYFT   *RIDE THU 8PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-14,-21.16,LYFT   *RIDE THU 5PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-15,-68.15,AMAZON LOCAL,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-03-15,-40.35,CACTUS RESTAURANT,Restaurant-Restaurant,AMEX DELTA
2019-03-15,-12.1,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-03-15,-11.91,LYFT   *RIDE FRI 8AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-16,-21.0,THE CAPERCAILLIE,Restaurant-Restaurant,AMEX DELTA
2019-03-17,-33.43,QFC,Merchandise & Supplies-Groceries,AMEX DELTA
2019-03-18,-5.17,Hover.Com,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-03-19,-120.05,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-03-21,-63.6,TUTTA BELLA,Restaurant-Restaurant,AMEX DELTA
2019-03-21,-4.05,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-03-21,-17.88,LYFT   *RIDE THU 9PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-21,-17.14,LYFT   *RIDE THU 6PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-22,-3.84,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-03-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-03-23,-153.63,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-03-23,-7.93,FLATSTICK PUB,Restaurant-Bar & Café,AMEX DELTA
2019-03-26,-7.56,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-03-28,-11.86,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-03-28,-11.01,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-03-29,-102.25,BIZZARRO ITALIAN CAFE,Restaurant-Restaurant,AMEX DELTA
2019-03-29,-17.76,COLLINS PUB,Restaurant-Restaurant,AMEX DELTA
2019-03-30,-17.99,OSTROMS DRUG & GIFT,Merchandise & Supplies-Pharmacies,AMEX DELTA
2019-03-30,-10.03,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-03-30,-9.88,802 KENMORE KIDD VALLEY,Restaurant-Restaurant,AMEX DELTA
2019-03-31,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-03-31,-625.0,DOLLY,Transportation-Other Transportation,AMEX DELTA
2019-04-01,9814.01,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-04-03,-8.8,AMAZON MUSIC*MW80O5D888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-04-03,-1.05,USPS.COM CHANGE OF ADDRESS,Business Services-Mailing & Shipping,AMEX DELTA
2019-04-03,-2.0,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-04-04,-9.43,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-04-04,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-05,-315.75,WA ST VEHICLE LICENSING,Other-Government Services,AMEX DELTA
2019-04-05,-20.26,TAT'S DELICATESSEN INC,Restaurant-Restaurant,AMEX DELTA
2019-04-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-04-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-04-07,-224.25,Astound Broadband,Communications-Cable & Internet Comm,AMEX DELTA
2019-04-07,-17.4,SHELL OIL 5742419250MERCER ISLAND       WA,Transportation-Fuel,AMEX DELTA
2019-04-07,-94.56,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-04-09,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-10,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-10,-29.92,PUGET SOUND ENERGY RESIDENTIAL,Other-Utilities,AMEX DELTA
2019-04-12,-28.49,TAT'S DELICATESSEN INC,Restaurant-Restaurant,AMEX DELTA
2019-04-13,-75.48,SUPER BUENO,Restaurant-Restaurant,AMEX DELTA
2019-04-13,-16.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-15,-12.1,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-04-15,-20.0,IPAYX*POLYCLINIC,Business Services-Health Care Services,AMEX DELTA
2019-04-16,-16.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-17,-16.65,TST* SALUMI ARTISAN CURED,Restaurant-Restaurant,AMEX DELTA
2019-04-17,-120.05,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-04-17,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-18,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-19,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-19,-66.26,CAFE PALOMA,Restaurant-Restaurant,AMEX DELTA
2019-04-19,-29.07,QUALITY ATHLETICS,Restaurant-Bar & Café,AMEX DELTA
2019-04-20,-16.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-20,-25.33,FLATSTICK PUB,Restaurant-Bar & Café,AMEX DELTA
2019-04-20,-13.06,802 KENMORE KIDD VALLEY,Restaurant-Restaurant,AMEX DELTA
2019-04-21,-56.38,UNION 76 09438573   KENMORE             WA,Transportation-Fuel,AMEX DELTA
2019-04-21,-17.99,OSTROMS DRUG & GIFT,Merchandise & Supplies-Pharmacies,AMEX DELTA
2019-04-21,-11.81,802 KENMORE KIDD VALLEY,Restaurant-Restaurant,AMEX DELTA
2019-04-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-04-23,-153.59,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-05-01,2311.99,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-05-01,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-05-02,-24.2,DLTSKYCLBTLA17 49870007,Restaurant-Restaurant,AMEX DELTA
2019-05-02,-268.0,STIA PUBLIC PARKING,Other-Government Services,AMEX DELTA
2019-05-02,-17.26,COBALT COAST RESORT,Travel-Lodging,AMEX DELTA
2019-05-03,-8.8,AMAZON MUSIC*MZ1M199888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-05-04,-16.5,NETFIRMS,Other-Miscellaneous,AMEX DELTA
2019-05-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-05-06,-9.27,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-05-06,-8.97,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-05-06,-8.21,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-05-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-05-08,-224.25,Astound Broadband,Communications-Cable & Internet Comm,AMEX DELTA
2019-05-15,-14.3,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-05-17,-136.02,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-05-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-05-23,-180.11,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-05-23,-160.0,DAN SERVICES,Other-Charities,AMEX DELTA
2019-06-01,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-06-01,1442.41,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-06-02,16.5,NETFIRMS            (866)539-2854       MA,Other-Miscellaneous,AMEX DELTA
2019-06-03,-8.79,AMAZON MUSIC*M694L8F888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-06-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-06-07,-1.99,GOOGLE*GOOGLE STORAG G.CO HELPPAY#,Business Services-Internet Services,AMEX DELTA
2019-06-11,-13.52,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-06-11,-13.65,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-06-14,-9.34,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-06-15,-14.3,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-06-16,-30.0,RING.COM,Merchandise & Supplies-Wholesale Stores,AMEX DELTA
2019-06-16,-110.0,CUSTER SPORTSMENS CLUB,Entertainment-Associations,AMEX DELTA
2019-06-18,-126.03,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-06-18,-13.64,FLATSTICK PUB,Restaurant-Bar & Café,AMEX DELTA
2019-06-18,-10.02,Burger King,Restaurant-Bar & Café,AMEX DELTA
2019-06-19,-16.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-06-19,-45.04,ARCO#83043ARCO GREENBEND                OR,Transportation-Fuel,AMEX DELTA
2019-06-19,-40.33,WORTHY BREWING CO,Restaurant-Restaurant,AMEX DELTA
2019-06-19,-4.79,SAFEWAY,Merchandise & Supplies-Groceries,AMEX DELTA
2019-06-20,-51.0,BONEYARD PUB,Restaurant-Bar & Café,AMEX DELTA
2019-06-21,-7.03,SAFEWAY,Merchandise & Supplies-Groceries,AMEX DELTA
2019-06-21,-12.41,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-06-21,-3.0,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-06-22,-23.75,WORTHY BREWING CO,Restaurant-Restaurant,AMEX DELTA
2019-06-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-06-22,-6.19,McDonald's,Restaurant-Bar & Café,AMEX DELTA
2019-06-23,-123.54,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-06-24,-7.97,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-06-25,-16.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-06-25,-141.46,HOTELSCOM16025121449HOTELS.COM          WA,Travel-Travel Agencies,AMEX DELTA
2019-06-26,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-06-26,-44.0,BENNETT'S BISTRO,Restaurant-Restaurant,AMEX DELTA
2019-06-27,-22.63,EXXONMOBIL FUEL OUTS(800) 243-9966      MO,Transportation-Fuel,AMEX DELTA
2019-06-27,-16.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-06-28,-16.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-06-29,-17.99,OSTROMS DRUG & GIFT,Merchandise & Supplies-Pharmacies,AMEX DELTA
2019-06-30,-48.63,ROANOKE INN,Restaurant-Bar & Café,AMEX DELTA
2019-06-30,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-07-01,521.65,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-07-02,-36.0,KEY BANK,Other-Charities,AMEX DELTA
2019-07-02,36.0,KEY BANK            SNOHOMISH           WA,Other-Charities,AMEX DELTA
2019-07-03,-8.79,AMAZON MUSIC*MH8QS2X888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-07-04,-46.17,NEW SEASONS,Merchandise & Supplies-Groceries,AMEX DELTA
2019-07-04,-9.01,McDonald's,Restaurant-Bar & Café,AMEX DELTA
2019-07-04,-1.6,EBAY INC,Communications-Other Telecom,AMEX DELTA
2019-07-04,-72.11,SILVER TRAY,Restaurant-Restaurant,AMEX DELTA
2019-07-04,-16.01,PAYPAL *DILLNUPGRDS,Business Services-Professional Services,AMEX DELTA
2019-07-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-07-06,-30.46,NEW SEASONS,Merchandise & Supplies-Groceries,AMEX DELTA
2019-07-06,-147.84,HOTELSCOM16067399127HOTELS.COM          WA,Travel-Travel Agencies,AMEX DELTA
2019-07-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-07-07,-23.86,Walmart Supercenter,Merchandise & Supplies-Wholesale Stores,AMEX DELTA
2019-07-10,-60.39,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-07-12,-33.58,ROADHOUSE BAR GRILL,Restaurant-Bar & Café,AMEX DELTA
2019-07-13,-50.0,SAFEWAY FUEL,Transportation-Fuel,AMEX DELTA
2019-07-14,-30.52,RAM RESTAURANT & BREWERY,Restaurant-Restaurant,AMEX DELTA
2019-07-15,-47.83,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-07-15,-64.87,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-07-15,-14.3,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-07-15,-32.4,RAM RESTAURANT & BREWERY,Restaurant-Restaurant,AMEX DELTA
2019-07-15,-385.87,HOTELSCOM16100032821HOTELS.COM          WA,Travel-Travel Agencies,AMEX DELTA
2019-07-17,-126.03,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-07-17,-100.88,THEODORE F&B,Restaurant-Restaurant,AMEX DELTA
2019-07-17,-12.75,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-07-18,-60.85,JACK'S BBQ,Restaurant-Restaurant,AMEX DELTA
2019-07-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-07-23,-125.81,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-07-25,-11.7,SUSHI ME,Restaurant-Restaurant,AMEX DELTA
2019-07-27,-94.76,AMAZON.COM*MA4KC7P22AMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-07-28,-21.31,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-07-28,-187.69,EDEN HILL RESTAURANT,Restaurant-Restaurant,AMEX DELTA
2019-07-31,-36.28,ZEEKS PIZZA-CAPITOL HILL,Restaurant-Restaurant,AMEX DELTA
2019-07-31,-30.5,SIFF,Entertainment-General Events,AMEX DELTA
2019-08-01,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-08-01,2307.53,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-08-01,-142.14,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-08-01,-48.48,AMAZON.COM*MA7EB8PL1AMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-08-03,-8.79,AMAZON MUSIC*MA35R66888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-08-04,-35.81,OSTROMS DRUG & GIFT,Merchandise & Supplies-Pharmacies,AMEX DELTA
2019-08-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-08-06,-16.5,GOOGLE*HBO DIG SV IN G.CO HELPPAY#,Business Services-Internet Services,AMEX DELTA
2019-08-06,-44.02,QFC,Merchandise & Supplies-Groceries,AMEX DELTA
2019-08-10,-15.14,Lowes Home Improvement,Merchandise & Supplies-Hardware Supplies,AMEX DELTA
2019-08-11,-18.01,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-08-11,-18.77,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-08-15,-14.3,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-08-16,-61.45,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-08-17,-126.03,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-08-18,-25.22,THE HOME DEPOT,Merchandise & Supplies-Hardware Supplies,AMEX DELTA
2019-08-18,-35.0,SEATTLE TIMES COMPANY,Business Services-Advertising Services,AMEX DELTA
2019-08-18,-60.54,MURPHY'S IRISH PUB,Restaurant-Restaurant,AMEX DELTA
2019-08-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-08-22,-75.99,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-08-22,-116.97,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-08-23,-125.81,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-08-24,-191.59,ALASKA AIRLINES     SEATTLE             WA,Travel-Airline,AMEX DELTA
2019-08-24,-78.0,ALASKA AIRLINES     SEATTLE             WA,Travel-Airline,AMEX DELTA
2019-08-24,-43.88,FLYING SQUIRREL PIZZA CO,Restaurant-Restaurant,AMEX DELTA
2019-08-25,-21.31,CHEVRON 0356816/CHEVMERCER ISLAND       WA,Transportation-Fuel,AMEX DELTA
2019-08-26,-55.0,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-08-26,-47.17,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-08-26,-42.35,Amazon Marketplace,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-08-28,-107.07,EDEN HILL RESTAURANT,Restaurant-Restaurant,AMEX DELTA
2019-08-29,-308.28,DERE AUTO 1,Transportation-Auto Services,AMEX DELTA
2019-08-29,-37.79,JALISCO RESTAURANT - SEAT,Restaurant-Restaurant,AMEX DELTA
2019-08-29,-10.85,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-08-29,-15.49,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-08-31,1166.43,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-08-31,-24.89,BOB'S BURGERS & BREW,Restaurant-Restaurant,AMEX DELTA
2019-09-01,-6.11,DOWNTIME TAPS,Restaurant-Restaurant,AMEX DELTA
2019-09-01,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-09-02,-43.98,TUTTA BELLA,Restaurant-Restaurant,AMEX DELTA
