Date,Amount,Description,Category,Source
2019-06-19,-2175.0,Check: DESIGN WEST MGMT Check # 1158,,MS CHECKING
2019-06-21,1815.02,Direct Deposit: DIRECT DEP FUNDS RECVD NEAL ANALYTICS L DIRECT DEP,,MS CHECKING
2019-06-24,-245.67,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-06-25,400.0,Mobile Deposit: FUNDS RECEIVED CONFIRM#3200002223358,,MS CHECKING
2019-06-26,-40.06,Automated Payment: PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,,MS CHECKING
2019-06-27,3.0,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-06-27,-103.0,Cash Advance: US BANK STARBUCKS SEATTLE WA,,MS CHECKING
2019-06-28,2.18,Interest Income: MORGAN STANLEY BANK N.A. (Period 06/01-06/30),,MS CHECKING
2019-07-02,-521.65,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-07-05,4.0,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-07-05,2740.36,Direct Deposit: DIRECT DEP FUNDS RECVD NEAL ANALYTICS L DIRECT DEP,,MS CHECKING
2019-07-05,-204.0,Cash Advance: 2731 77TH AVE SW MERCER ISLAND WA,,MS CHECKING
2019-07-09,0.24,Direct Deposit: DIRECT DEP FUNDS RECVD HEALTHEQUITY INC HealthEqui,,MS CHECKING
2019-07-09,-203.0,Cash Advance: US BANK STARBUCKS SEATTLE WA,,MS CHECKING
2019-07-10,3.0,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-07-12,-300.0,Automated Payment: HEALTHEQUITY INC HealthEqui CHK ACCT ENDING IN 7180,,MS CHECKING
2019-07-15,-200.0,Check: JUSTIN CHU Check # 1162,,MS CHECKING
2019-07-15,-2175.0,Check: DESIGN WEST Check # 1160,,MS CHECKING
2019-07-16,-4360.96,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-07-19,3338.49,Direct Deposit: DIRECT DEP FUNDS RECVD NEAL ANALYTICS L DIRECT DEP,,MS CHECKING
2019-07-19,-408.53,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-07-25,-156.7,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-07-26,-37.61,Automated Payment: PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,,MS CHECKING
2019-07-31,1.82,Interest Income: MORGAN STANLEY BANK N.A. (Period 07/01-07/31),,MS CHECKING
2019-08-02,3773.53,Direct Deposit: DIRECT DEP FUNDS RECVD NEAL ANALYTICS L DIRECT DEP,,MS CHECKING
2019-08-02,-2307.53,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-08-02,-272.25,Check: CITY OF MERCER ISLAND Check # 1163,,MS CHECKING
2019-08-16,-2219.63,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-08-16,-2175.0,Check: DESIGN WEST Check # 1161,,MS CHECKING
2019-08-16,3773.54,Direct Deposit: DIRECT DEP FUNDS RECVD NEAL ANALYTICS L DIRECT DEP,,MS CHECKING
2019-08-20,-664.95,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-08-23,3.0,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-08-25,-203.0,Cash Advance: US BANK MERCER ISL MERCER ISLAND WA,,MS CHECKING
2019-08-27,-40.47,Automated Payment: PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,,MS CHECKING
2019-08-29,-234.16,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-08-30,1.24,Interest Income: MORGAN STANLEY BANK N.A. (Period 08/01-08/31),,MS CHECKING
2019-08-30,3778.08,Direct Deposit: DIRECT DEP FUNDS RECVD NEAL ANALYTICS L DIRECT DEP,,MS CHECKING
2019-09-03,-1166.43,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-09-10,-500.0,Automated Payment: HEALTHEQUITY INC HealthEqui CHK ACCT ENDING IN 7180,,MS CHECKING
2019-09-13,3425.5,Direct Deposit: DIRECT DEP FUNDS RECVD NEAL ANALYTICS L DIRECT DEP,,MS CHECKING
2019-09-13,-2175.0,Check: DESIGN WEST MGMT Check # 1164,,MS CHECKING
2019-09-16,221.31,Mobile Deposit: FUNDS RECEIVED CONFIRM#3200002382012,,MS CHECKING
2019-09-16,-297.76,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-09-19,-668.59,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-09-26,-38.6,Automated Payment: PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,,MS CHECKING
2019-09-27,3773.53,Direct Deposit: DIRECT DEP FUNDS RECVD NEAL ANALYTICS L DIRECT DEP,,MS CHECKING
2019-09-30,-306.06,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-09-30,1.27,Interest Income: MORGAN STANLEY BANK N.A. (Period 09/01-09/30),,MS CHECKING
2019-10-01,-203.0,Cash Advance: 1600 23RD AVE SEATTLE WA,,MS CHECKING
2019-10-02,3.0,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-10-02,-500.0,Automated Payment: HEALTHEQUITY INC HealthEqui CHK ACCT ENDING IN 7180,,MS CHECKING
2019-10-02,-2112.32,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-10-03,-0.35,Automated Payment: VENMO VERIFYBAN CHK ACCT ENDING IN 7180,,MS CHECKING
2019-10-03,0.35,Direct Deposit: DIRECT DEP FUNDS RECVD VENMO VERIFYBAN,,MS CHECKING
2019-10-03,0.25,Direct Deposit: DIRECT DEP FUNDS RECVD VENMO VERIFYBAN,,MS CHECKING
2019-10-03,-0.25,Automated Payment: VENMO VERIFYBAN CHK ACCT ENDING IN 7180,,MS CHECKING
2019-10-11,-2175.0,Check: DESIGN WEST MGMT Check # 1165,,MS CHECKING
2019-10-11,1474.82,Direct Deposit: DIRECT DEP FUNDS RECVD NEAL ANALYTICS L DIRECT DEP,,MS CHECKING
2019-10-16,500.0,Direct Deposit: DIRECT DEP FUNDS RECVD SF MUTUAL A15SF0001,,MS CHECKING
2019-10-16,-245.31,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-10-16,-196.99,Debit Card: FEDERAL WAY DI FEDERAL WAY WA,,MS CHECKING
2019-10-18,4.0,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-10-18,-144.0,Cash Advance: BANNER BANK MERCER ISLAN WA,,MS CHECKING
2019-10-21,-618.57,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-10-25,-336.49,Automated Payment: CHASE CREDIT CRD EPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-10-28,-64.58,Automated Payment: PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,,MS CHECKING
2019-10-29,-268.29,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-10-31,-32.0,Check: CITY OF MERCER ISLAND Check # 1167,,MS CHECKING
2019-10-31,0.67,Interest Income: MORGAN STANLEY BANK N.A. (Period 10/01-10/31),,MS CHECKING
2019-11-04,-3430.26,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-11-07,-369.0,Check: OPTICAL PRESCRIPTION LAB Check # 1168,,MS CHECKING
2019-11-13,-383.0,Cash Advance: BOEING EMPLOYEE BELLEVUE WA,,MS CHECKING
2019-11-14,3.0,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-11-15,-2175.0,Check: DESIGN WEST MGMT Check # 1166,,MS CHECKING
2019-11-19,-613.49,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-11-20,30000.0,CASH TRANSFER: FUNDS TRANSFERRED CONFIRMATION # 120421562 FROM XXX-XX7145,,MS CHECKING
2019-11-22,-108.61,Automated Payment: CLEANSCAPES AUTO-PAY CHK ACCT ENDING IN 7180,,MS CHECKING
2019-11-26,-94.87,Automated Payment: PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,,MS CHECKING
2019-11-27,-424.85,Check: EMPLOYERS ADVANTAGE DIRECT Check # 5035,,MS CHECKING
2019-11-29,0.58,Interest Income: MORGAN STANLEY BANK N.A. (Period 11/01-11/30),,MS CHECKING
2019-12-02,-1756.65,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-12-02,-449.3,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-12-12,-424.85,Check: EMPLOYERS ADVANTAGE DIRECT Check # 5037,,MS CHECKING
2019-12-16,-2175.0,Check: DESIGN WEST MGMT Check # 1169,,MS CHECKING
2019-12-19,-1118.39,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-12-20,4434.64,Direct Deposit: DIRECT DEP FUNDS RECVD NEAL ANALYTICS L DIRECT DEP,,MS CHECKING
2019-12-23,-2534.87,Automated Payment: BK OF AMER VISA ONLINE PMT MORGAN STANLEY PAYMENTS,,MS CHECKING
2019-12-27,-127.82,Automated Payment: PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,,MS CHECKING
2019-12-30,-9.33,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-12-31,0.82,Interest Income: MORGAN STANLEY BANK N.A. (Period 12/01-12/31),,MS CHECKING
