Date,Amount,Description,Category,Source
2019-02-06,-12.45,LYFT   *RIDE WED 9AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-02-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-02-06,-22.04,SHEJUMPS,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-02-07,-10.81,TST* EVERGREENS - PIONEER,Restaurant-Restaurant,AMEX DELTA
2019-02-07,-24.0,LYFT   *RIDE THU 8AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-02-07,-19.52,LYFT   *RIDE THU 9PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-02-07,-16.65,TST* SALUMI ARTISAN CURED,Restaurant-Restaurant,AMEX DELTA
2019-02-07,-224.25,Astound Broadband,Communications-Cable & Internet Comm,AMEX DELTA
2019-02-07,-199.0,WWW.GALVANIZE.COM: Sale,Professional Services,CHASE UNITED VISA
2019-02-08,-8.0,PEDDLER BREWING COMPANY,Restaurant-Restaurant,AMEX DELTA
2019-02-08,-15.37,TST* SALUMI ARTISAN CURED,Restaurant-Restaurant,AMEX DELTA
2019-02-08,-60.0,KING COUNTY METRO: Sale,Travel,CHASE UNITED VISA
2019-02-11,-15.78,W C WOLFF CO,Merchandise & Supplies-Sporting Goods Stores,AMEX DELTA
2019-02-12,-29.0,Zillow,Business Services-Other Services,AMEX DELTA
2019-02-14,-5.84,DICK'S DRIVE-IN WALLINGFO,Dining,CAPITAL ONE VISA
2019-02-15,1030.01,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-02-15,-16.27,I FIVE PHO,Restaurant-Restaurant,AMEX DELTA
2019-02-15,-17.29,TST* SALUMI ARTISAN CURED,Dining,CAPITAL ONE VISA
2019-02-15,-4.13,CAFFE UMBRIA OCCIDENTAL: Sale,Food & Drink,CHASE UNITED VISA
2019-02-15,-12.1,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-02-16,-4.4,MCDONALD'S F4728,Dining,CAPITAL ONE VISA
2019-02-18,-21.58,SAFEWAY STORE,Merchandise & Supplies-Groceries,AMEX DELTA
2019-02-18,-92.69,CAFE PRESSE: Sale,Food & Drink,CHASE UNITED VISA
2019-02-18,-1002.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-02-18,330.56,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-02-19,-40.0,Check: JOHN LINDGRED Check # 1149,,MS CHECKING
2019-02-19,-1002.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-02-19,-330.56,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-02-19,-126.32,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-02-19,-11.65,LYFT   *RIDE TUE 5PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-02-19,-34.18,CENTRAL PIZZA,Restaurant-Restaurant,AMEX DELTA
2019-02-19,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-02-19,-1030.01,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-02-20,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-02-21,-11.4,MANU'S TACOS FLATSTICK,Restaurant-Restaurant,AMEX DELTA
2019-02-21,80.6,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-02-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-02-22,-80.6,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-02-23,-196.05,RHEIN HAUS,Restaurant-Bar & Café,AMEX DELTA
2019-02-23,-153.64,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-02-24,-123.72,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-02-24,-43.83,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-02-26,-10.0,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-02-26,-31.41,LA PALMERA,Restaurant-Restaurant,AMEX DELTA
2019-02-26,-68.74,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-02-26,-10.0,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-02-27,-27.5,FEDERAL WAY INDOOR RANGE,Merchandise,CAPITAL ONE VISA
2019-02-27,-6.25,SDOT PAYBYPHONE PARKING,Gas/Automotive,CAPITAL ONE VISA
2019-02-27,-363.0,MIDWAY USA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-02-28,-330.63,EQT*Premera Blue Cross: Sale,Bills & Utilities,CHASE UNITED VISA
2019-02-28,-23.65,VINCE'S ITALIAN RESTAURANT & PIZZERIA,Restaurant-Restaurant,AMEX DELTA
2019-02-28,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-02-28,1.49,Interest Income: MORGAN STANLEY BANK N.A. (Period 02/04-02/28),,MS CHECKING
2019-03-01,-62.71,AUDIT &amp; ADJUSTMENT COMPAN: Sale,Health & Wellness,CHASE UNITED VISA
2019-03-01,4936.95,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-03-01,-61.5,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-03-02,-15.35,WSFERRIES-KI,Other-Government Services,AMEX DELTA
2019-03-02,-56.88,Amazon Web Services AWS.Amazon.com      WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-03-02,-6.94,DICK'S DRIVE-IN WALLINGFO,Dining,CAPITAL ONE VISA
2019-03-03,-17.99,OSTROMS DRUG & GIFT,Merchandise & Supplies-Pharmacies,AMEX DELTA
2019-03-03,-8.8,AMAZON MUSIC*MI21G3U888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-03-03,-12.64,802 KENMORE KIDD VALLEY: Sale,Food & Drink,CHASE UNITED VISA
2019-03-03,-42.59,COSTCO GAS #1190 LYNNWOOD WA,,CITI COSTCO VISA
2019-03-04,-4936.95,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-03-04,-607.85,Check: JPL Check # 1150,,MS CHECKING
2019-03-05,-1250.0,Check: PETER ROTHSCHILD Check # 1151,,MS CHECKING
2019-03-05,-11.26,TST* MEG S: Sale,Food & Drink,CHASE UNITED VISA
2019-03-05,-11.94,LYFT   *RIDE TUE 8AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-03-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-03-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-03-07,-199.0,WWW.GALVANIZE.COM: Sale,Professional Services,CHASE UNITED VISA
2019-03-07,-8000.0,GALVANIZE,Other-Education,AMEX DELTA
2019-03-10,-224.25,Astound Broadband,Communications-Cable & Internet Comm,AMEX DELTA
2019-03-11,-1.59,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-03-12,20103.38,CASH TRANSFER: FUNDS TRANSFERRED CONFIRMATION # 105314443 FROM XXX-XX7145,,MS CHECKING
2019-03-12,-10.01,LYFT   *RIDE TUE 8PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-13,-40.0,KING COUNTY METRO 4: Sale,Travel,CHASE UNITED VISA
2019-03-14,-21.16,LYFT   *RIDE THU 5PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-14,-22.6,LYFT   *RIDE THU 8PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-15,-68.15,AMAZON LOCAL,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-03-15,-40.35,CACTUS RESTAURANT,Restaurant-Restaurant,AMEX DELTA
2019-03-15,-12.1,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-03-15,-11.91,LYFT   *RIDE FRI 8AMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-15,668.35,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-03-16,-18.02,MCDONALD'S F11027: Sale,Food & Drink,CHASE UNITED VISA
2019-03-16,-21.0,THE CAPERCAILLIE,Restaurant-Restaurant,AMEX DELTA
2019-03-16,-1202.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-03-16,-802.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-03-16,-416.65,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-03-17,-33.43,QFC,Merchandise & Supplies-Groceries,AMEX DELTA
2019-03-18,244.82,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-03-18,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-03-18,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-03-18,-8.15,DICK'S DRIVE-IN WALLINGFO,Dining,CAPITAL ONE VISA
2019-03-18,-668.35,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-03-18,-5.17,Hover.Com,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-03-19,-120.05,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-03-19,-244.82,Automated Payment: CITI AUTOPAY PAYMENT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-03-19,-40.43,MAD PIZZA - SEATTLE: Sale,Food & Drink,CHASE UNITED VISA
2019-03-21,-63.6,TUTTA BELLA,Restaurant-Restaurant,AMEX DELTA
2019-03-21,-4.05,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-03-21,-17.88,LYFT   *RIDE THU 9PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-21,51.15,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,CAPITAL ONE VISA
2019-03-21,-17.14,LYFT   *RIDE THU 6PMSAN FRANCISCO       CA,Transportation-Taxis & Coach,AMEX DELTA
2019-03-22,-3.84,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-03-22,-5.84,FLATSTICK PUB LLC: Sale,Food & Drink,CHASE UNITED VISA
2019-03-22,-114.95,U-HAUL MOVING & STORAGE OF BURIEN,Other-Miscellaneous,AMEX DELTA
2019-03-22,-51.15,Automated Payment: CAPITAL ONE CRCARDPMT CHK ACCT ENDING IN 2622,,MS CHECKING
2019-03-23,-3.76,LUXSCI: Sale,Personal,CHASE UNITED VISA
2019-03-23,-223.02,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-03-23,-65.0,CENTURYLINK SIMPLE: Sale,Bills & Utilities,CHASE UNITED VISA
2019-03-23,-153.63,VZW APOCC           800-922-0204        FL,Communications-Mobile Telecom,AMEX DELTA
2019-03-23,-7.93,FLATSTICK PUB,Restaurant-Bar & Café,AMEX DELTA
2019-03-23,-2.84,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-03-25,-79.92,Check: JUSTIN CHU Check # 1152,,MS CHECKING
2019-03-26,-7.56,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-03-26,-16.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-03-27,-14.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-03-28,-120.0,Check: KEATINGS CLEANING Check # 1153,,MS CHECKING
2019-03-28,-11.01,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-03-28,-11.86,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-03-28,-11.26,TST* MEG S: Sale,Food & Drink,CHASE UNITED VISA
2019-03-28,-330.63,EQT*Premera Blue Cross: Sale,Bills & Utilities,CHASE UNITED VISA
2019-03-29,2.26,Interest Income: MORGAN STANLEY BANK N.A. (Period 03/01-03/31),,MS CHECKING
2019-03-29,-11.4,SQ *MANU'S TACOS FL,Dining,CAPITAL ONE VISA
2019-03-29,-17.76,COLLINS PUB,Restaurant-Restaurant,AMEX DELTA
2019-03-29,-102.25,BIZZARRO ITALIAN CAFE,Restaurant-Restaurant,AMEX DELTA
2019-03-30,-66.05,MAD PIZZA - SEATTLE: Sale,Food & Drink,CHASE UNITED VISA
2019-03-30,-17.99,OSTROMS DRUG & GIFT,Merchandise & Supplies-Pharmacies,AMEX DELTA
2019-03-30,-10.03,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-03-30,-9.88,802 KENMORE KIDD VALLEY,Restaurant-Restaurant,AMEX DELTA
2019-03-30,-6.75,SQ *OPTIMISM BREWING COMP: Sale,Food & Drink,CHASE UNITED VISA
2019-03-30,-13.5,SQ *OPTIMISM BREWING COMP: Sale,Food & Drink,CHASE UNITED VISA
2019-03-30,-6.75,SQ *OPTIMISM BREWING COMP: Sale,Food & Drink,CHASE UNITED VISA
2019-03-31,-5.0,DIGITALOCEAN.COM,Merchandise & Supplies-Computer Supplies,AMEX DELTA
2019-03-31,-93.0,TM *GOGOL BORDELLO: Sale,Entertainment,CHASE UNITED VISA
2019-03-31,-8.8,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-03-31,-625.0,DOLLY,Transportation-Other Transportation,AMEX DELTA
2019-03-31,-35.25,COSTCO GAS #0001 SEATTLE WA,,CITI COSTCO VISA
2019-04-01,-19.82,I HEART SUSHI: Sale,Food & Drink,CHASE UNITED VISA
2019-04-01,9814.01,AUTOPAY PAYMENT - THANK YOU,,AMEX DELTA
2019-04-02,-11.0,USPS PO 5476340052: Sale,Shopping,CHASE UNITED VISA
2019-04-02,-9814.01,Automated Payment: AMEX EPAYMENT ACH PMT CHK ACCT ENDING IN 7180,,MS CHECKING
2019-04-03,-60.0,KING COUNTY METRO: Sale,Travel,CHASE UNITED VISA
2019-04-03,-8.45,FLATSTICK PUB LLC,Dining,CAPITAL ONE VISA
2019-04-03,-2.0,RITUAL.CO,Restaurant-Bar & Café,AMEX DELTA
2019-04-03,-1.05,USPS.COM CHANGE OF ADDRESS,Business Services-Mailing & Shipping,AMEX DELTA
2019-04-03,-8.8,AMAZON MUSIC*MW80O5D888-802-3080        WA,Merchandise & Supplies-Internet Purchase,AMEX DELTA
2019-04-03,-16.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-04-04,-9.43,LYFT,Transportation-Taxis & Coach,AMEX DELTA
2019-04-04,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-05,-315.75,WA ST VEHICLE LICENSING,Other-Government Services,AMEX DELTA
2019-04-05,-20.26,TAT'S DELICATESSEN INC,Restaurant-Restaurant,AMEX DELTA
2019-04-05,-16.5,GOOGLE *HBO DIG SV I855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-04-06,-9.9,COMPLETE ID 855-591-0202 TX,,CITI COSTCO VISA
2019-04-06,-1.99,GOOGLE *GOOGLE STORA855-836-3987        CA,Business Services-Internet Services,AMEX DELTA
2019-04-06,-502.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-04-06,-11.55,MCDONALD'S F435,Dining,CAPITAL ONE VISA
2019-04-07,-224.25,Astound Broadband,Communications-Cable & Internet Comm,AMEX DELTA
2019-04-07,-27.51,GOODWILL SEATTLE  - DI: Sale,Shopping,CHASE UNITED VISA
2019-04-07,-17.4,SHELL OIL 5742419250MERCER ISLAND       WA,Transportation-Fuel,AMEX DELTA
2019-04-07,-94.56,BATON VAPOR,Merchandise & Supplies-General Retail,AMEX DELTA
2019-04-07,-199.0,WWW.GALVANIZE.COM: Sale,Professional Services,CHASE UNITED VISA
2019-04-08,-40.44,GOODWILL SEATTLE  - DI,Merchandise,CAPITAL ONE VISA
2019-04-08,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-04-08,-1367.0,Check: DESIGN WEST MGMT Check # 1154,,MS CHECKING
2019-04-09,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-09,-7.8,FLATSTICK PUB LLC,Dining,CAPITAL ONE VISA
2019-04-09,-15.95,SQ *HOLE IN THE WAL,Dining,CAPITAL ONE VISA
2019-04-09,-356.61,COSTCO WHSE #0001 SEATTLE WA,,CITI COSTCO VISA
2019-04-10,-29.92,PUGET SOUND ENERGY RESIDENTIAL,Other-Utilities,AMEX DELTA
2019-04-10,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-11,-402.5,Cash Advance: BOEING EMPLOYEE SEATTLE WA,,MS CHECKING
2019-04-11,-6.46,SAFEWAY #1993,Merchandise,CAPITAL ONE VISA
2019-04-12,2.5,Service Fee Adj: ATM FEE REVERSAL,,MS CHECKING
2019-04-12,-28.49,TAT'S DELICATESSEN INC,Restaurant-Restaurant,AMEX DELTA
2019-04-12,-16.0,IPM FGI CP: Sale,Travel,CHASE UNITED VISA
2019-04-13,-16.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-13,-75.48,SUPER BUENO,Restaurant-Restaurant,AMEX DELTA
2019-04-13,-44.5,GEORGETOWN LIQUOR COMP: Sale,Food & Drink,CHASE UNITED VISA
2019-04-13,-18.7,PAYBYPHONE DIAMOND PAR,Gas/Automotive,CAPITAL ONE VISA
2019-04-15,-20.0,IPAYX*POLYCLINIC,Business Services-Health Care Services,AMEX DELTA
2019-04-15,766.95,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-04-15,-12.1,NETFLIX.COM         866-579-7172        CA,Communications-Mobile Telecom,AMEX DELTA
2019-04-16,-16.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-16,-766.95,Automated Payment: CHASE CREDIT CRD AUTOPAY CHK ACCT ENDING IN 2622,,MS CHECKING
2019-04-16,-179.92,Check: JUSTIN CHU Check # 1155,,MS CHECKING
2019-04-17,-16.65,TST* SALUMI ARTISAN CURED,Restaurant-Restaurant,AMEX DELTA
2019-04-17,-120.05,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,AMEX DELTA
2019-04-17,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-17,-18.68,SQ *TAT'S DELICATES,Dining,CAPITAL ONE VISA
2019-04-18,636.69,AUTOPAY 999990000082565RAUTOPAY AUTO-PMT,,CITI COSTCO VISA
2019-04-18,-14.0,IPM FGI CP,Transportation-Parking Charges,AMEX DELTA
2019-04-19,-29.07,QUALITY ATHLETICS,Restaurant-Bar & Café,AMEX DELTA
