Date,Amount,Description,Category,Source
2019-05-21,-105.5,TECHWEARUSA: Sale,Shopping,CHASE UNITED VISA
2019-05-22,-8.42,CHICK-FIL-A #03392: Sale,Food & Drink,CHASE UNITED VISA
2019-05-23,-104.75,AMZN Mktp US*MN0O978U0: Sale,Shopping,CHASE UNITED VISA
2019-05-23,-10.0,LAZ PARKING 280403: Sale,Travel,CHASE UNITED VISA
2019-05-23,-51.34,MARQUEEN HOTEL: Sale,Food & Drink,CHASE UNITED VISA
2019-05-24,-12.0,AMPCO - SECOND &amp; JAMES GA: Sale,Travel,CHASE UNITED VISA
2019-05-24,-17.72,SQ *TAT'S DELICATESSEN IN: Sale,Food & Drink,CHASE UNITED VISA
2019-05-25,-23.39,FLATSTICK PUB LLC: Sale,Food & Drink,CHASE UNITED VISA
2019-05-26,-199.99,PADDLE.NET* REALPYTHON: Sale,Shopping,CHASE UNITED VISA
2019-05-26,-86.43,LOWES #00004*: Sale,Home,CHASE UNITED VISA
2019-05-26,-13.85,0880 AMC PACIFIC PLACE: Sale,Entertainment,CHASE UNITED VISA
2019-05-26,-11.96,0880 AMC PACIFIC PLACE: Sale,Entertainment,CHASE UNITED VISA
2019-05-26,-10.0,LAZ PARKING 780107: Sale,Travel,CHASE UNITED VISA
2019-05-26,-44.99,DIN TAI FUNG PACIFIC PLAC: Sale,Food & Drink,CHASE UNITED VISA
2019-05-27,-11.5,SQ *FREMONT BREWING COMPA: Sale,Food & Drink,CHASE UNITED VISA
2019-05-27,-38.2,TUTTA BELLA STONE WAY: Sale,Food & Drink,CHASE UNITED VISA
2019-05-27,-13.8,SQ *FREMONT BREWING COMPA: Sale,Food & Drink,CHASE UNITED VISA
2019-05-28,-330.63,EQT*Premera Blue Cross: Sale,Bills & Utilities,CHASE UNITED VISA
2019-05-28,-32.5,SIFF: Sale,Entertainment,CHASE UNITED VISA
2019-05-28,-17.99,OSTROMS DRUG &amp; GIFT: Sale,Health & Wellness,CHASE UNITED VISA
2019-05-28,-12.64,802 KENMORE KIDD VALLEY: Sale,Food & Drink,CHASE UNITED VISA
2019-05-29,-29.49,VIA TRIBUNALI CAPITOL HIL: Sale,Food & Drink,CHASE UNITED VISA
2019-05-30,-18.0,WSCC PFD PARKING: Sale,Travel,CHASE UNITED VISA
2019-05-31,-8.15,Amazon.com*MN0SC89W0: Sale,Shopping,CHASE UNITED VISA
2019-05-31,-37.25,AMZN Mktp US*M63XA64E1: Sale,Shopping,CHASE UNITED VISA
2019-06-01,-15.81,SQ *DENTED BUOY PIZZA INC: Sale,Food & Drink,CHASE UNITED VISA
2019-06-01,-2.98,AMZN Mktp US*M65VJ1L01: Sale,Shopping,CHASE UNITED VISA
2019-06-01,-14.8,WSFERRIES-SOUTHWORTH: Sale,Travel,CHASE UNITED VISA
2019-06-02,-146.99,THE HOME DEPOT 4702: Sale,Home,CHASE UNITED VISA
2019-06-03,-105.0,U.S. PRACTICAL SHOOTING: Sale,Gifts & Donations,CHASE UNITED VISA
2019-06-03,-89.55,PUGET SOUND ENERGY: Sale,Bills & Utilities,CHASE UNITED VISA
2019-06-04,-11.99,AMZN Mktp US*M620V8482: Sale,Shopping,CHASE UNITED VISA
2019-06-04,-5.0,SQ *FREMONT BREWING COMPA: Sale,Food & Drink,CHASE UNITED VISA
2019-06-04,-117.04,AMZN Mktp US*M63972L52: Sale,Shopping,CHASE UNITED VISA
2019-06-04,-15.06,AMZN Mktp US*M65N70FU2: Sale,Shopping,CHASE UNITED VISA
2019-06-04,-43.99,Amazon.com*M644J9T11: Sale,Shopping,CHASE UNITED VISA
2019-06-05,-30.23,AMZN Mktp US*M64C220D1: Sale,Shopping,CHASE UNITED VISA
2019-06-05,-61.75,TANGLETOWN PUBLIC HOUSE: Sale,Food & Drink,CHASE UNITED VISA
2019-06-05,-67.6,THE BRIDGE: Sale,Food & Drink,CHASE UNITED VISA
2019-06-06,-5.5,SQ *LOWES ON RAINIE: Sale,Food & Drink,CHASE UNITED VISA
2019-06-06,-36.82,LOWES #00004*: Sale,Home,CHASE UNITED VISA
2019-06-06,-14.35,USPS.COM CLICKNSHIP: Sale,Shopping,CHASE UNITED VISA
2019-06-06,-65.0,CENTURYLINK SIMPLE: Sale,Bills & Utilities,CHASE UNITED VISA
2019-06-07,-116.84,AMZN Mktp US*M66H70LP0: Sale,Shopping,CHASE UNITED VISA
2019-06-07,-32.99,Amazon.com*M69GR4LW0: Sale,Shopping,CHASE UNITED VISA
2019-06-07,-13.96,AMZN Mktp US*M66WT2A62: Sale,Shopping,CHASE UNITED VISA
2019-06-07,-18.3,LOWES #02420*: Sale,Home,CHASE UNITED VISA
2019-06-08,-15.2,HOLLYWOOD TAVERN: Sale,Food & Drink,CHASE UNITED VISA
2019-06-08,-2.46,AMZN Mktp US*M64A13A12: Sale,Shopping,CHASE UNITED VISA
2019-06-09,-39.58,AMZN Mktp US*M692J2E62: Sale,Shopping,CHASE UNITED VISA
2019-06-09,-48.46,AMZN Mktp US*M63C72E62: Sale,Shopping,CHASE UNITED VISA
2019-06-09,-26.0,PBPSA USPSA: Sale,Shopping,CHASE UNITED VISA
2019-06-09,-29.69,BOBS BURGERS  BREW - PUYA: Sale,Food & Drink,CHASE UNITED VISA
2019-06-11,-180.0,MADRONA FAMILY DENTAL: Sale,Health & Wellness,CHASE UNITED VISA
2019-06-11,-14.42,AMZN Mktp US*M613P8MT1: Sale,Shopping,CHASE UNITED VISA
2019-06-11,-14.31,SIREN STORE 50621: Sale,Food & Drink,CHASE UNITED VISA
2019-06-13,-25.0,STARBUCKS: Sale,Food & Drink,CHASE UNITED VISA
2019-06-14,-60.39,VERTIGO VAPOR: Sale,Shopping,CHASE UNITED VISA
2019-06-14,3221.85,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-06-15,-61.47,TST* MARINE HARDWARE: Sale,Food & Drink,CHASE UNITED VISA
2019-06-17,-21.75,TUSCAN STONE PIZZA (ME: Sale,Food & Drink,CHASE UNITED VISA
2019-06-17,-153.95,DILLON PRECISION PRODUCTS: Sale,Shopping,CHASE UNITED VISA
2019-06-18,-4.0,MCDONALD'S F11916: Sale,Food & Drink,CHASE UNITED VISA
2019-06-21,-25.0,STARBUCKS: Sale,Food & Drink,CHASE UNITED VISA
2019-06-25,-25.0,STARBUCKS: Sale,Food & Drink,CHASE UNITED VISA
2019-06-28,-25.0,STARBUCKS: Sale,Food & Drink,CHASE UNITED VISA
2019-06-28,-330.63,EQT*Premera Blue Cross: Sale,Bills & Utilities,CHASE UNITED VISA
2019-06-30,-309.0,MIDWAYUSA COM: Sale,Shopping,CHASE UNITED VISA
2019-06-30,-43.91,Etsy.com - Multiple Shops: Sale,Shopping,CHASE UNITED VISA
2019-06-30,-58.62,AMZN Mktp US*MH0SS6EV1: Sale,Shopping,CHASE UNITED VISA
2019-07-01,-757.73,DILLON PRECISION PRODUCTS: Sale,Shopping,CHASE UNITED VISA
2019-07-01,-20.89,AMZN Mktp US*MH8L10ZC2: Sale,Shopping,CHASE UNITED VISA
2019-07-02,-82.77,DILLON PRECISION PRODUCTS: Sale,Shopping,CHASE UNITED VISA
2019-07-04,-61.0,SP * INLINE FABRICATIO: Sale,Shopping,CHASE UNITED VISA
2019-07-05,-22.75,TUSCAN STONE PIZZA (ME: Sale,Food & Drink,CHASE UNITED VISA
2019-07-06,-65.0,CENTURYLINK SIMPLE: Sale,Bills & Utilities,CHASE UNITED VISA
2019-07-08,-90.87,AMZN Mktp US*MH3Y98B61: Sale,Shopping,CHASE UNITED VISA
2019-07-08,-10.43,AMZN Mktp US*MH0KN5P92: Sale,Shopping,CHASE UNITED VISA
2019-07-09,-17.59,AMZN Mktp US*MH1RI6EQ0: Sale,Shopping,CHASE UNITED VISA
2019-07-09,-30.02,AMZN Mktp US*MH4RN2XP2: Sale,Shopping,CHASE UNITED VISA
2019-07-09,-20.14,Amazon.com*MH54X4GQ2: Sale,Shopping,CHASE UNITED VISA
2019-07-15,-32.4,SQ *'WICH CAME FIRST: Sale,Food & Drink,CHASE UNITED VISA
2019-07-15,4360.96,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-07-16,-25.0,STARBUCKS: Sale,Food & Drink,CHASE UNITED VISA
2019-07-16,-7.93,SQ *MARINATION: Sale,Food & Drink,CHASE UNITED VISA
2019-07-22,-32.93,OLYMPIA PIZZA HOUSE: Sale,Food & Drink,CHASE UNITED VISA
2019-07-22,-12.57,PECOS PIT BBQ: Sale,Food & Drink,CHASE UNITED VISA
2019-07-25,-90.97,FLYING SQUIRREL PIZZA CO: Sale,Food & Drink,CHASE UNITED VISA
2019-07-30,-43.84,TUTTA BELLA STONE WAY: Sale,Food & Drink,CHASE UNITED VISA
2019-08-02,-52.45,DRUNKYS TWO SHOES BBQ: Sale,Food & Drink,CHASE UNITED VISA
2019-08-05,-65.0,CENTURYLINK SIMPLE: Sale,Bills & Utilities,CHASE UNITED VISA
2019-08-15,2219.63,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-08-18,-96.81,REPUBLIC SERVICES TRASH: Sale,Bills & Utilities,CHASE UNITED VISA
2019-08-30,-25.0,STARBUCKS: Sale,Food & Drink,CHASE UNITED VISA
2019-09-04,-65.0,CENTURYLINK SIMPLE: Sale,Bills & Utilities,CHASE UNITED VISA
2019-09-11,-25.0,STARBUCKS: Sale,Food & Drink,CHASE UNITED VISA
2019-09-15,297.76,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-09-15,-33.5,GEORGETOWN LIQUOR COMP: Sale,Food & Drink,CHASE UNITED VISA
2019-09-18,-100.0,TST* UNION SALOON: Sale,Food & Drink,CHASE UNITED VISA
2019-10-03,-125.99,LUXSCI: Sale,Personal,CHASE UNITED VISA
2019-10-04,-65.0,CENTURYLINK SIMPLE: Sale,Bills & Utilities,CHASE UNITED VISA
2019-10-15,245.31,AUTOMATIC PAYMENT - THANK: Payment,,CHASE UNITED VISA
2019-10-17,-22.75,TUSCAN STONE PIZZA (ME: Sale,Food & Drink,CHASE UNITED VISA
2019-10-21,-22.75,TUSCAN STONE PIZZA (ME: Sale,Food & Drink,CHASE UNITED VISA
2019-10-24,336.49,Payment Thank You - Web: Payment,,CHASE UNITED VISA
