Posted Date,Reference Number,Payee,Address,Amount
01/03/2020,24445000002500273592022,"ZEEKS PIZZA-CAPITOL HILL SEATTLE WA","SEATTLE       WA ",-44.68
01/02/2020,24445009365300389711125,"QFC #5839 MERCER ISLANDWA","MERCER ISLAND WA ",-26.62
12/31/2019,24316059364548562009111,"SHELL OIL 57444032502 MERCER ISLANDWA","MERCER ISLAND WA ",-46.33
12/30/2019,24445009363300301297270,"QFC #5839 MERCER ISLANDWA","MERCER ISLAND WA ",-31.86
12/30/2019,24251389363017156842757,"FLATSTICK PUB LLC SEATTLE WA","SEATTLE       WA ",-7.16
12/30/2019,24137469363100455000960,"TST* ELYSIAN BREWING - FISEATTLE WA","SEATTLE       WA ",-46.64
12/30/2019,24137469363100455000887,"TST* TAVOLATA SEATTLE WA","SEATTLE       WA ",-47.92
12/30/2019,24692169363100025615076,"Prime Video*6P4OY8FO3 888-802-3080 WA","888-802-3080  WA ",-13.19
12/30/2019,24692169362100662583497,"AMZN Mktp US*LN9V94H33 Amzn.com/billWA","Amzn.com/bill WA ",-28.18
12/27/2019,24692169361100613085635,"Amazon.com*8C2680RD3 Amzn.com/billWA","Amzn.com/bill WA ",-18.69
12/27/2019,24692169360100402881716,"AMZN Mktp US*9Z2TF7IE3 Amzn.com/billWA","Amzn.com/bill WA ",-17.59
12/27/2019,24692169360100364986883,"AMZN Mktp US*JH92L9ZC3 Amzn.com/billWA","Amzn.com/bill WA ",-32.95
12/27/2019,24692169360100265376754,"Amazon.com*PS3P64IQ3 Amzn.com/billWA","Amzn.com/bill WA ",-16.49
12/26/2019,24493989358207727300409,"MUD BAY MERCER ISLAND MERCER ISLANDWA","MERCER ISLAND WA ",-24.84
12/26/2019,24610439358010187659643,"THE HOME DEPOT #4702 SEATTLE WA","SEATTLE       WA ",-31.85
12/26/2019,24692169358100290794736,"AMZN Mktp US*B45GO6V73 Amzn.com/billWA","Amzn.com/bill WA ",-17.73
12/24/2019,24692169358100015348669,"AMZN Mktp US*XH0GW4I33 Amzn.com/billWA","Amzn.com/bill WA ",-61.58
12/24/2019,24692169358100010498907,"AMZN Mktp US*ZE7L20YL3 Amzn.com/billWA","Amzn.com/bill WA ",-28.66
12/24/2019,24692169358100859289805,"AMZN Mktp US*0W4HO09P3 Amzn.com/billWA","Amzn.com/bill WA ",-29.69
12/23/2019,24492159356637560028357,"TUSCAN STONE PIZZA (ME STRIPE.COM NY","STRIPE.COM    NY ",-23.25
12/23/2019,24692169355100041781621,"SHARKS CAGE NC-14 SJC SAN JOSE CA","SAN JOSE      CA ",-54.94
12/21/2019,35573400000847000127521,"BA ELECTRONIC PAYMENT","",2534.87
12/21/2019,24164079354163181443932,"APPLEBEES 984702098473 REDWOOD CITY CA","REDWOOD CITY  CA ",-40.94
12/21/2019,74692169354100285584976,"UNITED 0161554066965800-932-2732 TX","800-932-2732  TX ",33.00
12/21/2019,74692169354100285584968,"UNITED 0161554066964800-932-2732 TX","800-932-2732  TX ",33.00
