All Activity Types,,,,,,,,,,,
,,,,,,,,,,,
Account Activity for All Accounts from 01/01/2020 - 12/31/2020,,,,,,,,,,,
,,,,,,,,,,,
Activity Date,Transaction Date,Account,Activity,Check Number,Card Number,Description,Symbol,Cusip,Quantity,Price($),Amount($)
09/29/2020,09/29/2020,New Roth IRA - 5445,Dividend,,,ISHARES RUSSELL 1000 GRW ETF,IWF,464287614,0.000,0.00,56.27
09/29/2020,09/29/2020,Checking - 6312,Automated Payment,,,CAPITAL ONE      CRCARDPMT CHK ACCT ENDING IN 2622,-,-,0.000,0.00,-13.40
09/28/2020,09/28/2020,Checking - 6312,Automated Payment,,,APARTMENTS.COM   Mahle CHK ACCT ENDING IN 7180,-,-,0.000,0.00,"-2,175.00"
09/28/2020,09/28/2020,Checking - 6312,Automated Payment,,,PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,-,-,0.000,0.00,-46.21
09/25/2020,09/25/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,356.86"
09/24/2020,09/24/2020,IRA Standard - 5359,Dividend,,,ENERGY SEL SECT SPDR FD,XLE,81369Y506,0.000,0.00,105.45
09/24/2020,09/24/2020,Main Investment - 7145,Dividend,,,ENERGY SEL SECT SPDR FD,XLE,81369Y506,0.000,0.00,600.65
09/21/2020,09/21/2020,Checking - 6312,Automated Payment,,,CITI AUTOPAY     PAYMENT CHK ACCT ENDING IN 2622,-,-,0.000,0.00,-689.65
09/15/2020,09/15/2020,Checking - 6312,Mobile Deposit,,,FUNDS RECEIVED CONFIRM#3200003256718,-,-,0.000,0.00,304.87
09/14/2020,09/14/2020,Checking - 6312,Automated Payment,,,BK OF AMER VISA  ONLINE PMT MORGAN STANLEY PAYMENTS,-,-,0.000,0.00,"-1,874.37"
09/11/2020,09/11/2020,Main Investment - 7145,Qualified Dividend,,,WALGREENS BOOTS ALLIANCE INC,WBA,931427108,0.000,0.00,112.67
09/11/2020,09/11/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,819.37"
09/10/2020,09/10/2020,IRA Standard - 5359,Qualified Dividend,,,INTL BUSINESS MACHINES CORP,IBM,459200101,0.000,0.00,66.83
09/10/2020,09/10/2020,Main Investment - 7145,Qualified Dividend,,,INTL BUSINESS MACHINES CORP,IBM,459200101,0.000,0.00,295.03
09/10/2020,09/10/2020,New Roth IRA - 5445,Qualified Dividend,,,CHEVRON CORP,CVX,166764100,0.000,0.00,144.48
09/09/2020,09/09/2020,New Roth IRA - 5445,Service Fee,,,UNILEVER PLC (NEW) ADS AGENT CUSTODY FEE $0.0050/SH,UL,904767704,0.000,0.00,-0.83
09/09/2020,09/09/2020,New Roth IRA - 5445,Qualified Dividend,,,UNILEVER PLC (NEW) ADS,UL,904767704,0.000,0.00,77.92
09/08/2020,09/08/2020,IRA Standard - 5359,Dividend,,,SPDR BBG BARC HIGH YIELD BND,JNK,78468R622,0.000,0.00,32.09
09/08/2020,09/08/2020,IRA Standard - 5359,Dividend,,,ISHARES JP MORGAN EM BOND ETF,EMB,464288281,0.000,0.00,27.34
09/08/2020,09/08/2020,New Roth IRA - 5445,Service Fee,,,ADV FEE 09/01-09/30 IRA/653,-,-,0.000,0.00,-204.19
09/08/2020,09/08/2020,IRA Standard - 5359,Service Fee,,,ADV FEE 09/01-09/30 IRA/653,-,-,0.000,0.00,-185.33
09/08/2020,09/08/2020,Main Investment - 7145,Service Fee,,,ADV FEE 09/01-09/30,-,-,0.000,0.00,-260.61
09/02/2020,09/02/2020,New Roth IRA - 5445,Sold,,,APPLE INC,AAPL,037833100,137.000,130.95,"17,939.75"
09/02/2020,09/02/2020,Checking - 6312,Automated Payment,,,AMEX EPAYMENT    ACH PMT CHK ACCT ENDING IN 7180,-,-,0.000,0.00,-114.95
09/02/2020,08/31/2020,New Roth IRA - 5445,Stock Split,,,APPLE INC SPLIT RATIO  4:1,AAPL,037833100,504.000,0.00,0.00
08/31/2020,08/31/2020,New Roth IRA - 5445,Interest Income,,,MORGAN STANLEY PRIVATE BANK NA (Period 08/01-08/31),MSPBNA,061871976,0.000,0.00,0.04
08/31/2020,08/31/2020,IRA Standard - 5359,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 08/01-08/31),MSBNK,061870903,0.000,0.00,0.23
08/31/2020,08/31/2020,Main Investment - 7145,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 08/01-08/31),MSBNK,061870903,0.000,0.00,0.46
08/31/2020,08/31/2020,Checking - 6312,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 08/01-08/31),MSBNK,061870903,0.000,0.00,0.38
08/28/2020,08/28/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,819.90"
08/27/2020,08/27/2020,Checking - 6312,Automated Payment,,,APARTMENTS.COM   Mahle CHK ACCT ENDING IN 7180,-,-,0.000,0.00,"-2,175.00"
08/27/2020,08/27/2020,Checking - 6312,Automated Payment,,,PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,-,-,0.000,0.00,-44.63
08/24/2020,08/24/2020,Checking - 6312,Automated Payment,,,CLEANSCAPES      AUTO-PAY CHK ACCT ENDING IN 7180,-,-,0.000,0.00,-108.73
08/19/2020,08/19/2020,Checking - 6312,Automated Payment,,,CITI AUTOPAY     PAYMENT CHK ACCT ENDING IN 2622,-,-,0.000,0.00,-382.80
08/19/2020,08/19/2020,Checking - 6312,Automated Payment,,,PAYPAL           TRANSFER CHK ACCT ENDING IN 7180,-,-,0.000,0.00,"-1,200.00"
08/19/2020,08/19/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD IRS  TREAS 310 TAX REF,-,-,0.000,0.00,4.47
08/17/2020,08/17/2020,Main Investment - 7145,Bought,,,WALGREENS BOOTS ALLIANCE INC UNSOLICITED TRADE,WBA,931427108,241.000,41.38,"-9,972.58"
08/14/2020,08/14/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,819.36"
08/13/2020,08/13/2020,New Roth IRA - 5445,Qualified Dividend,,,APPLE INC,AAPL,037833100,0.000,0.00,137.76
08/13/2020,08/13/2020,Checking - 6312,Automated Payment,,,BK OF AMER VISA  ONLINE PMT MORGAN STANLEY PAYMENTS,-,-,0.000,0.00,-903.03
08/07/2020,08/07/2020,IRA Standard - 5359,Dividend,,,SPDR BBG BARC HIGH YIELD BND,JNK,78468R622,0.000,0.00,34.88
08/07/2020,08/07/2020,IRA Standard - 5359,Dividend,,,ISHARES JP MORGAN EM BOND ETF,EMB,464288281,0.000,0.00,26.90
08/07/2020,08/07/2020,Main Investment - 7145,Service Fee,,,ADV FEE 08/01-08/31,-,-,0.000,0.00,-259.53
08/07/2020,08/07/2020,New Roth IRA - 5445,Service Fee,,,ADV FEE 08/01-08/31 IRA/653,-,-,0.000,0.00,-190.13
08/07/2020,08/07/2020,IRA Standard - 5359,Service Fee,,,ADV FEE 08/01-08/31 IRA/653,-,-,0.000,0.00,-182.97
08/03/2020,08/03/2020,IRA Standard - 5359,Qualified Dividend,,,AT&T INC,T,00206R102,0.000,0.00,173.16
08/03/2020,08/03/2020,Main Investment - 7145,Qualified Dividend,,,AT&T INC,T,00206R102,0.000,0.00,159.64
08/03/2020,08/03/2020,IRA Standard - 5359,Qualified Dividend,,,VERIZON COMMUNICATIONS,VZ,92343V104,0.000,0.00,55.97
08/03/2020,08/03/2020,Main Investment - 7145,Qualified Dividend,,,VERIZON COMMUNICATIONS,VZ,92343V104,0.000,0.00,213.41
08/03/2020,08/03/2020,Checking - 6312,Automated Payment,,,AMEX EPAYMENT    ACH PMT CHK ACCT ENDING IN 7180,-,-,0.000,0.00,-147.95
07/31/2020,07/31/2020,New Roth IRA - 5445,Sold,,,APPLE INC,AAPL,037833100,21.000,412.18,"8,655.58"
07/31/2020,07/31/2020,New Roth IRA - 5445,Interest Income,,,MORGAN STANLEY PRIVATE BANK NA (Period 07/01-07/31),MSPBNA,061871976,0.000,0.00,0.03
07/31/2020,07/31/2020,IRA Standard - 5359,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 07/01-07/31),MSBNK,061870903,0.000,0.00,0.24
07/31/2020,07/31/2020,Main Investment - 7145,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 07/01-07/31),MSBNK,061870903,0.000,0.00,0.68
07/31/2020,07/31/2020,Checking - 6312,Interest Income,,,MORGAN STANLEY BANK N.A. (Period 07/01-07/31),MSBNK,061870903,0.000,0.00,0.32
07/31/2020,07/31/2020,IRA 401K (closed) - 8275,Dividend,,,SPDR S&P 500 ETF TRUST,SPY,78462F103,0.000,0.00,102.47
07/31/2020,07/31/2020,old Roth IRA - 6410,Dividend,,,SPDR S&P 500 ETF TRUST,SPY,78462F103,0.000,0.00,66.95
07/31/2020,07/31/2020,New Roth IRA - 5445,Sold,,,SPDR S&P 500 ETF TRUST,SPY,78462F103,15.000,322.69,"4,840.24"
07/31/2020,07/31/2020,New Roth IRA - 5445,Bought,,,UNILEVER PLC (NEW) ADS,UL,904767704,166.000,60.11,"-9,977.98"
07/31/2020,07/31/2020,Checking - 6312,Direct Deposit,,,DIRECT DEP FUNDS RECVD PROLIANCE CONSUL DIRECT DEP,-,-,0.000,0.00,"4,963.90"
07/30/2020,07/30/2020,Main Investment - 7145,Bought,,,INTL BUSINESS MACHINES CORP,IBM,459200101,81.000,122.97,"-9,960.57"
07/29/2020,07/29/2020,Checking - 6312,Automated Payment,,,CAPITAL ONE      CRCARDPMT CHK ACCT ENDING IN 2622,-,-,0.000,0.00,-49.79
07/28/2020,07/28/2020,Checking - 6312,Automated Payment,,,PUGET SOUND ENER ONLINE PMT MORGAN STANLEY PAYMENTS,-,-,0.000,0.00,-45.73
07/27/2020,07/27/2020,Checking - 6312,Automated Payment,,,COZY             Mahle CHK ACCT ENDING IN 7180,-,-,0.000,0.00,"-2,175.00"
07/21/2020,07/21/2020,Checking - 6312,Automated Payment,,,CITI AUTOPAY     PAYMENT CHK ACCT ENDING IN 2622,-,-,0.000,0.00,-152.54
